tiempo total: 0:05:58.612821
tiempo creacion kb: 0:01:36.292503
tiempo para responder consulta: 0:04:16.703378
         1050620873 function calls (1047945851 primitive calls) in 358.727 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 random.py:1(<module>)
     23/3    0.000    0.000    0.000    0.000 sre_compile.py:71(_compile)
       59    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
        1    0.000    0.000    0.000    0.000 NetCompTarget.py:1(<module>)
       90    0.000    0.000    0.000    0.000 ntpath.py:124(splitdrive)
        1    0.000    0.000    0.000    0.000 Variable.py:1(<module>)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(create_module)
      150    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 GlobalLabel.py:1(<module>)
        2    0.000    0.000    0.000    0.000 NetDERQuery.py:33(get_disjoint_queries)
        9    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
       73    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:151(__exit__)
       59    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
        2    0.000    0.000    0.000    0.000 __init__.py:313(namedtuple)
        1    0.000    0.000    0.000    0.000 sortedset.py:1(<module>)
        1    0.000    0.000    0.000    0.000 GRE.py:1(<module>)
        1    0.000    0.000    0.000    0.000 NetDiffInterpretation.py:1(<module>)
      793    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       71    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
       59    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:526(_validate_timestamp_pyc)
      177    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
        1    0.000    0.000    0.000    0.000 interval.py:1(<module>)
        8    0.000    0.000    0.000    0.000 enum.py:473(_get_mixins_)
      448    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
      289    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
        1    0.000    0.000    0.000    0.000 csv.py:2(<module>)
        8    0.000    0.000    0.000    0.000 enum.py:484(_find_data_type)
       73    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
      944    0.000    0.000    0.000    0.000 NetDiffFact.py:15(getTimeLower)
      944    0.000    0.000    0.000    0.000 NetDiffFact.py:12(getTimeUpper)
        1    0.000    0.000    0.000    0.000 sortedset.py:36(SortedSet)
        1    0.000    0.000    0.000    0.000 const.py:1(<module>)
      307    0.000    0.000    0.000    0.000 sre_parse.py:254(get)
       73    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
       12    0.000    0.000    0.000    0.000 textwrap.py:414(dedent)
      472    0.000    0.000    0.000    0.000 NetCompTarget.py:6(__init__)
       73    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
       59    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:456(_check_name_wrapper)
       12    0.000    0.000    0.000    0.000 NetDiffGraph.py:35(get_components)
       21    0.000    0.000    0.000    0.000 ntpath.py:61(isabs)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(spec_from_loader)
        1    0.000    0.000    0.000    0.000 sorteddict.py:1(<module>)
        1    0.000    0.000    0.000    0.000 sortedlist.py:85(SortedList)
       10    0.000    0.000    0.000    0.000 sre_compile.py:276(_optimize_charset)
       19    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       12    0.000    0.000    0.000    0.000 datetime.py:488(__new__)
      372    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
      954    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
      195    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:867(__exit__)
        6    0.000    0.000    0.000    0.000 sortedlist.py:1546(__make_cmp)
      195    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
       25    0.000    0.000    0.000    0.000 enum.py:64(__setitem__)
        6    0.000    0.000    0.000    0.000 NetDiffWorld.py:40(__str__)
