tiempo total: 0:00:35.266278
tiempo de traduccion: 1900-01-01 00:00:00.016558
tiempo de construccion de homomorfismos 1900-01-01 00:00:00.071923
tiempo de ejecucion consulta SQL 1900-01-01 00:00:00.009589
tiempo creacion kb: 0:00:01.009957
tiempo para responder consulta: 0:00:29.023667
         84147746 function calls (83634982 primitive calls) in 35.429 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 decimal.py:2(<module>)
        9    0.000    0.000    0.002    0.000 schema.py:5(__init__)
    14466    0.002    0.000    0.002    0.000 NetDERRule.py:20(get_net_body)
    14470    0.002    0.000    0.002    0.000 NetDiffGraph.py:51(getId)
    12015    0.002    0.000    0.002    0.000 NetDiffGraphElement.py:17(getLabels)
    14464    0.002    0.000    0.002    0.000 NetDERRule.py:23(get_global_cond)
        1    0.002    0.002    0.002    0.002 {built-in method _winapi.CreateProcess}
     7232    0.002    0.000    0.002    0.000 NetDERTGD.py:15(get_net_head)
        1    0.000    0.000    0.002    0.002 binary_operator_node.py:1(<module>)
       18    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1252(_path_hooks)
     7261    0.002    0.000    0.002    0.000 {method 'insert' of 'list' objects}
     7238    0.002    0.000    0.002    0.000 Term.py:25(__eq__)
     7552    0.002    0.000    0.002    0.000 Label.py:14(__str__)
      161    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:147(__enter__)
       18    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1479(_fill_cache)
      277    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:376(cached)
     7232    0.002    0.000    0.002    0.000 Term.py:34(isInstanced)
        8    0.000    0.000    0.002    0.000 lex.py:482(_form_master_re)
        9    0.000    0.000    0.002    0.000 ElementTree.py:1192(parse)
        1    0.000    0.000    0.002    0.002 _strptime.py:1(<module>)
   206/41    0.001    0.000    0.002    0.000 sre_compile.py:71(_compile)
        1    0.000    0.000    0.002    0.002 decoder.py:1(<module>)
      141    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
        9    0.000    0.000    0.002    0.000 ElementTree.py:571(parse)
     7232    0.002    0.000    0.002    0.000 NetDERTGD.py:12(get_ont_head)
        1    0.000    0.000    0.002    0.002 node.py:1(<module>)
     4082    0.001    0.000    0.001    0.000 {built-in method builtins.max}
        2    0.001    0.001    0.001    0.001 NetDiffInterpretation.py:105(__str__)
        8    0.000    0.000    0.001    0.000 yacc.py:1821(read_table)
      163    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
       12    0.001    0.000    0.001    0.000 __init__.py:313(namedtuple)
       18    0.001    0.000    0.001    0.000 {built-in method nt.listdir}
     2219    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
    71/69    0.000    0.000    0.001    0.000 visit.py:25(ff)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1520(path_hook_for_FileFinder)
        8    0.000    0.000    0.001    0.000 yacc.py:257(parse)
        8    0.000    0.000    0.001    0.000 yacc.py:597(parseopt)
        8    0.000    0.000    0.001    0.000 lex.py:560(get_all)
    71/69    0.000    0.000    0.001    0.000 visit.py:40(__call__)
        1    0.000    0.000    0.001    0.001 dis.py:1(<module>)
        8    0.000    0.000    0.001    0.000 lex.py:652(get_rules)
     34/8    0.000    0.000    0.001    0.000 node.py:47(accept)
      472    0.000    0.000    0.001    0.000 random.py:285(choice)
       14    0.000    0.000    0.001    0.000 __init__.py:274(load)
     6000    0.001    0.000    0.001    0.000 NetDiffGlobalRule.py:16(getLocalTarget)
      945    0.001    0.000    0.001    0.000 NLocalLabel.py:7(__init__)
       18    0.000    0.000    0.001    0.000 <frozen zipimport>:63(__init__)
       25    0.000    0.000    0.001    0.000 Atom.py:104(get_pk_variable)
     8752    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.001    0.001 copy.py:1(<module>)
        9    0.001    0.000    0.001    0.000 {method '_parse_whole' of 'xml.etree.ElementTree.XMLParser' objects}
      141    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
      466    0.000    0.000    0.001    0.000 enum.py:278(__call__)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
       19    0.000    0.000    0.001    0.000 Atom.py:57(__str__)
        1    0.000    0.000    0.001    0.001 ElementPath.py:59(<module>)
     6000    0.001    0.000    0.001    0.000 NetDiffGlobalRule.py:13(getLocalLabel)
     7236    0.001    0.000    0.001    0.000 OntQuery.py:8(get_exist_var)
     4000    0.001    0.000    0.001    0.000 NetDiffLocalRule.py:11(getTarget)
     4000    0.001    0.000    0.001    0.000 NetDiffLocalRule.py:20(getNeighNodes)
      272    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
     3275    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        1    0.000    0.000    0.001    0.001 string.py:67(__init__)
      161    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
